"","OfferContactDate","CustomerID","ApplianceID","Brand","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"276","14/03/2017",2562,1334,"A","A","D","FF",5,0,1,"A",1,8.99
"277","09/03/2017",3499,2488,"A","B","F","FF",3,1,11,"A",4,8.92
"278","09/03/2017",2404,1146,"A","B","F","FF",4,1,2,"A",2,8.81
"279","09/03/2017",6726,6484,"A","B","E","CK",3,1,14,"A",5,8.77
"280","09/03/2017",12198,12421,"A","B","E","AW",2,0,1,"A",1,8.25
"281","09/03/2017",386,1451,"A","A","F","FR",2,0,2,"A",1,8.35
"282","09/03/2017",7575,7471,"A","B","G","TD",2,0,3,"A",2,8.36
"283","09/03/2017",13336,13624,"A","B","G","CK",3,1,1,"A",1,8.9
"284","09/03/2017",5172,4538,"A","A","F","AW",3,1,12,"A",3,8.62
"285","09/03/2017",672,3402,"A","B","F","CK",2,2,10,"A",2,8.69
"286","09/03/2017",1827,420,"A","A","F","FF",3,0,1,"A",1,8.08
"287","09/03/2017",4425,3633,"A","A","F","DW",2,1,3,"A",4,8.34
"288","09/03/2017",2036,686,"A","C","F","FR",2,3,9,"A",8,8.51
"289","09/03/2017",1749,318,"A","B","F","AW",3,1,6,"A",1,8.17
"290","09/03/2017",2980,1853,"A","B","E","FR",2,1,34,"A",8,8.04
"291","09/03/2017",3055,1944,"A","B","E","WD",4,1,2,"A",3,8.39
"292","09/03/2017",1741,309,"A","A","E","FZ",2,5,34,"A",6,8.06
"293","09/03/2017",14449,14821,"A","B","A","FF",2,0,0,"A",1,8.21
"294","09/03/2017",4490,3710,"A","B","D","AW",2,0,2,"A",3,8.24
"295","09/03/2017",14821,15450,"A","B","F","DW",2,0,0,"A",2,8.71
"296","09/03/2017",11312,11497,"A","B","F","FF",3,0,1,"A",1,8.58
"297","09/03/2017",1319,8330,"A","B","F","FF",3,0,6,"A",3,8.34
"298","09/03/2017",1566,15318,"A","A","E","CK",3,0,1,"A",1,9
"299","09/03/2017",706,3637,"A","B","E","FR",2,3,6,"A",2,8.14
"300","14/03/2017",13862,14192,"A","B","F","AW",2,1,1,"A",1,8.57
"301","09/03/2017",11249,11433,"A","B","E","FF",3,1,1,"A",1,8.5
"302","09/03/2017",1267,7661,"A","B","F","AW",3,1,2,"A",1,8.6
"303","09/03/2017",6971,6772,"A","C","G","TD",2,0,3,"A",3,8.77
"304","09/03/2017",6491,6199,"A","B","F","AW",2,2,13,"A",5,8.35
"305","09/03/2017",5189,4565,"A","C","F","FF",4,0,1,"A",1,8.46
"306","14/03/2017",14553,15070,"A","B","F","FF",3,1,1,"A",1,8.75
"307","09/03/2017",2339,1067,"A","B","E","WD",3,0,1,"A",1,8.8
"308","09/03/2017",12609,12855,"A","B","F","WD",3,0,1,"A",1,8.4
"309","09/03/2017",936,5060,"A","B","F","AW",3,0,1,"A",1,8.6
"310","09/03/2017",5537,5010,"A","B","F","AW",4,1,1,"A",1,8.38
